,flat_price,Комнат,Площадь,Жилая,Кухня,Этаж,Ремонт,Тип сделки,Лет в собственности,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Количество квартир,latitude,longitude,Вид из окон,Тип перекрытий,Горячее водоснабжение,Количество собственников,Мусоропровод,Несовершеннолетние собственники,Прописанные несовершеннолетние,Количество балконов,Тип фундамента,Балкон,Количество лифтов,Грузовой лифт,Высота потолков,price_stats,Детская площадка,Перепланировка,Газ,Спортивная площадка,Год ввода в эксплуатацию,Количество подъездов,Наименьшее количество этажей,Предоплата,Залог,Класс энергоэффективности,Прописано,Коммунальные платежи,Холодное водоснабжение,Комнат в квартире,Площадь комнаты,Теплоснабжение,Санузел,Энергоснабжение
0,23 950 000,3,"73,8",45,10,2,Косметический,Свободная продажа,От трех до пяти,2002,Железобетон,П-44Т,17,есть,798,55.672011,37.570878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14 500 000,1,"48,4","20,2","14,6",7,Евро,Свободная продажа,,2015,Монолитный,а-типовой,27,есть,51,55.558641,37.559308,во,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,59 990 000,3,90,54,15,7,Отсутствует,Свободная продажа,,2020,Монолитный,,11,,171,55.754279,37.544764,во,Железобетонный,Центральное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16 800 000,2,51,"35,6","8,7",1,косметический,Свободная продажа,,1969,Кирпичный,"14/14, индивидуальный",14,есть,,55.684102,37.544432,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14 599 000,2,47,29,"6,5",6,Дизайнерский,Свободная продажа,Меньше трех,1969,Железобетон,1-515-9,9,есть,216,"55.63194,",7.602633},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34 980 000,3,92,76,10,4,Косметический,Свободная продажа,,1938,Кирпичный,01-пз индивидуальный проект,6,есть,,55.772229,37.660296,во,Деревянный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37 500 000,5,115,75,12,16,Косметический,Свободная продажа,,1990,Железобетон,П-44,17,есть,270,55.694205,37.498662,на,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17 000 000,2,"56,5",,11,12,Косметический,Альтернатива,Больше пяти,2021,Монолитно-кирпичный,,15,есть,,55.798343,37.765893,,Железобетонный,,2,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16 200 000,1,32,"10,9","12,1",9,Отсутствует,Свободная продажа,,2021,,,11,есть,,55.793429,37.611509,во,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18 000 000,3,"71,2","43,3","11,7",22,Евро,Свободная продажа,Меньше трех,2022,Монолитный,,23,,,55.710798,37.803892,,Железобетонный,Центральное,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8 750 000,1,32,20,4,2,Дизайнерский,Свободная продажа,,2017,Монолитный,,5,,,55.703814,37.640138,во,Железобетонный,Центральное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9 500 000,1,26,14,6,5,,Свободная продажа,,1973,Панельный,1-515-9,9,есть,,55.717558,37.459415,,Железобетонный,,,,нет,нет,,,,,,,,,,,,,,,,,,,,,,,,,
12,27 800 000,3,"73,6",,10,15,евроремонт,Свободная продажа,,1981,Железобетон,П-44,16,есть,,55.825285,37.626987,,Железобетонный,,,есть,,,1,,,,,,,,,,,,,,,,,,,,,,,,
13,14 500 000,2,"37,6","22,5","7,3",7,Косметический,Свободная продажа,,1963,Блочный,ii-18/22,9,есть,,55.783357,37.672208,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,120 000 000,4,122,87,15,2,Дизайнерский,Свободная продажа,,1917,Кирпичный,01-пз индивидуальный проект,4,,,55.762586,37.597809,во,Деревянный,,,,,,,Ленточный,,,,,,,,,,,,,,,,,,,,,,,
15,18 900 000,2,60,,12,4,Хороший,Свободная продажа,,2020,Панельный,,25,,,55.776345,37.73686},,Железобетонный,Центральное,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
16,19 900 000,1,"46,3",21,12,22,Отсутствует,Свободная продажа,,2021,Монолитный,"14/14, индивидуальный",42,есть,,55.696179,37.469782,на,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,28 000 000,3,"75,5",46,10,4,косметический,Свободная продажа,,2003,Панельный,П-44,16,есть,184,55.752252,37.506873,во,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,45 000 000,2,100,65,12,12,Требует ремонта,Свободная продажа,,2019,Монолитный,,12,есть,,55.770836,37.591198,,Железобетонный,Центральное,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
19,55 000 000,3,"95,6",,37,5,Дизайнерский,Свободная продажа,Больше пяти,2018,Монолитно-кирпичный,,14,есть,,55.700613,37.633634,,Железобетонный,Центральное,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20 000 000,1,"44,7",27,"14,5",30,Отсутствует,Свободная продажа,,2022,Монолитный,,35,есть,778,"55.81082,",7.626268},на,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15 784 028,2,"58,6",,"10,1",2,Без ремонта,Свободная продажа,,2023,Монолитный,,13,,,55.504807,37.321308,,,,,,нет,нет,,,,,,,,,,,,,,,,,,,,,,,,,
22,16 700 000,1,"40,7","21,1","9,8",11,Косметический,Свободная продажа,Меньше трех,2020,Монолитный,01-пз индивидуальный проект,15,есть,,55.662004,37.514347,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,34 000 000,4,101,"54,9","16,6",21,Дизайнерский,Свободная продажа,,2003,Монолитный,01-пз индивидуальный проект,22,есть,105,55.709302,37.483373,на,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13 800 000,2,45,,10,9,,,,1978,Железобетон,1-515-5,9,есть,215,55.857917,37.617339,,,,,есть,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
25,15 500 000,1,"35,9",24,8,7,Евро,Свободная продажа,,2020,Панельный,,25,есть,481,55.661953,37.422755,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14 000 000,1,"38,5","19,1","8,5",13,Косметический,Свободная продажа,Больше пяти,1985,Железобетон,П-44,17,есть,,55.691105,37.49541},,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,18 500 000,2,56,26,17,4,Евро,Свободная продажа,Больше пяти,2018,Монолитный,121. многоквартирный дом,20,есть,,55.599728,37.724723,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8 980 000,1,"38,3",20,"10,1",7,,Свободная продажа,,1994,Панельный,копэ 85,22,есть,,55.973652,37.153736,,Железобетонный,,,,нет,нет,,,,,,,,,,,,,,,,,,,,,,,,,
29,13 500 000,3,56,40,6,4,,Альтернатива,,1966,Кирпичный,II-29,9,есть,,55.801546,37.827868,,Железобетонный,,,,,,,,нет,,нет,,,,,,,,,,,,,,,,,,,,
30,24 000 000,2,"60,4",31,"10,3",15,Косметический,Свободная продажа,Меньше трех,2019,Монолитный,01-пз индивидуальный проект,22,есть,,55.666127,37.508589,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,13 490 000,2,"50,8","28,3",11,15,Хороший,Свободная продажа,,1987,Железобетон,II-68,16,есть,,55.702637,37.744325,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,60 500 000,4,138,,,32,,Свободная продажа,,2023,,,46,есть,,55.718806,37.637075,,,,,,,,,,нет,,нет,,,,,,,,,,,,,,,,,,,,
